RULETYPE,FROMFEATURECLASS,FROMASSETGROUP,FROMASSETTYPE,FROMTERMINAL,TOFEATURECLASS,TOASSETGROUP,TOASSETTYPE,TOTERMINAL,VIAFEATURECLASS,VIAASSETGROUP,VIAASSETTYPE,VIATERMINAL
Containment,StructureJunction,Caja de tuberías,Blow Off,,WaterDevice,Limpieza y descarga,Válvula giratoria para incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Blow Off,,WaterDevice,Limpieza y descarga,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Blow Off,,WaterDevice,Limpieza y descarga,Poste de boca de riego,,,,,
Containment,StructureJunction,Caja de tuberías,Blow Off,,WaterDevice,Limpieza y descarga,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Blow Off,,WaterDevice,Salida,Desagüe,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterDevice,Válvula de servicio,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Mordaza,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Cruz con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,T con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Abrazadera,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Tornillo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Manguito,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Toma,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Abrazadera para grifo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Tapping Sleeve,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,T,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Transición,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box,,WaterJunction,Nudo,Y,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterDevice,Válvula de servicio,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Mordaza,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Cruz con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,T con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Abrazadera,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Tornillo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Manguito,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Toma,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Abrazadera para grifo,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Tapping Sleeve,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,T,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Transición,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,WaterJunction,Nudo,Y,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Válvula de flujo,Antirretorno,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Supervisión,Medidor de detección,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Comercial,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Incendio,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Industrial,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Riego,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Residencial,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Contador de servicio,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Válvula de servicio,Descarga,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Válvula de servicio,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de medidores,,WaterJunction,Nudo,T,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterDevice,Válvula de servicio,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Mordaza,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Cruz con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,T con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Abrazadera,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Tornillo,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Manguito,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Toma,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Abrazadera para grifo,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Tapping Sleeve,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,T,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Transición,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureJunction,Caja de tuberías,Calzada,,WaterJunction,Nudo,Y,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula de flujo,Antirretorno,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Supervisión,Medidor de detección,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula de servicio,Descarga,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula de servicio,Boca de incendios,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Derivación,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Interconexión,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Zona de aislamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Zona de presión,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Suministro,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Sistema,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterDevice,Válvula del sistema,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Mordaza,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Cruz con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,T con reducción,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Abrazadera,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Tornillo,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Manguito,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Toma,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Abrazadera para grifo,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Tapping Sleeve,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,T,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Transición,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Se desconoce,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureJunction,Caja de tuberías,Caja de válvulas,,WaterJunction,Nudo,Y,,,,,
Containment,StructureJunction,Bóveda de tuberías,Bóveda,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureLine,Revestimiento de tubería,Revestimiento,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Containment,StructureLine,Revestimiento de tubería,Revestimiento,,WaterLine,Tubería general de agua,Producción,,,,,
Containment,StructureLine,Revestimiento de tubería,Revestimiento,,WaterLine,Tubería general de agua,Transporte,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterDevice,Válvula de presión,Purga de aire,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterDevice,Válvula de presión,Aire y vacío,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterDevice,Válvula de presión,Combinada de aire_Obsoleto,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterDevice,Válvula de servicio,Acometida,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterJunction,Nudo,Codo,,,,,
Containment,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,WaterJunction,Nudo,Abrazadera,,,,,
